A,N,n,n_absorbed,graze_survival_frac,mean_ng,median_ng,max_ng,frac_zero_graze
0.5,4,200,200,0.00,2.54,2.0,7,0.04
0.5,8,200,200,0.00,1.74,2.0,5,0.03
0.5,16,200,200,0.00,1.34,1.0,4,0.06
0.5,24,200,200,0.00,1.27,1.0,4,0.04
0.5,32,200,200,0.00,1.29,1.0,3,0.03
0.5,48,200,200,0.00,1.25,1.0,2,0.04
0.5,64,200,200,0.00,1.25,1.0,5,0.01
0.2,4,100,49,0.51,1.92,2.0,6,0.08
0.2,8,100,25,0.75,0.84,1.0,3,0.40
0.2,16,100,22,0.78,0.32,0.0,1,0.68
0.2,24,100,23,0.77,0.13,0.0,2,0.91
0.2,32,100,29,0.71,0.14,0.0,1,0.86
0.2,48,100,23,0.77,0.09,0.0,1,0.91
0.2,64,100,27,0.73,0.04,0.0,1,0.96
