N,A,T_v,recThresh,tau_abs,events,censored,censored_pct,median_grazes
8,0.5,60,0.75,126.2,40,0,0,1
8,0.5,60,0.8,126.2,40,0,0,1
8,0.5,120,0.75,146.3,40,0,0,1
8,0.5,120,0.8,150.2,40,0,0,1
8,0.5,240,0.75,157.3,40,0,0,1
8,0.5,240,0.8,159.6,40,0,0,1
32,0.5,60,0.75,119.7,40,0,0,1
32,0.5,60,0.8,121.5,40,0,0,1
32,0.5,120,0.75,138.6,40,0,0,1
32,0.5,120,0.8,141.9,40,0,0,1
32,0.5,240,0.75,158.4,40,0,0,1
32,0.5,240,0.8,158.4,40,0,0,1
8,0.2,60,0.75,2490.1,18,22,55,1
8,0.2,60,0.8,2490.1,18,22,55,1
8,0.2,120,0.75,4199.8,13,27,68,1.5
8,0.2,120,0.8,4199.8,13,27,68,1.5
8,0.2,240,0.75,4712.2,12,28,70,2
8,0.2,240,0.8,4712.2,12,28,70,2
32,0.2,60,0.75,3383.4,15,25,63,1.5
32,0.2,60,0.8,3765.1,14,26,65,2
32,0.2,120,0.75,6924.7,9,31,78,2
32,0.2,120,0.8,6924.7,9,31,78,2
32,0.2,240,0.75,8035.8,8,32,80,2
32,0.2,240,0.8,8035.8,8,32,80,2
