A,N,k_graze,k_graze_ci,k_abs,k_abs_ci,abs_events
0.5,4,0.82,"[0.74,0.92]",2.27,"[2.06,2.55]",200
0.5,8,1.26,"[1.15,1.40]",2.22,"[1.98,2.61]",200
0.5,16,1.49,"[1.33,1.68]",2.49,"[2.27,2.80]",200
0.5,24,1.61,"[1.45,1.82]",2.67,"[2.43,3.02]",200
0.5,32,1.52,"[1.38,1.72]",2.44,"[2.21,2.75]",200
0.5,48,1.85,"[1.64,2.14]",2.72,"[2.50,3.02]",200
0.5,64,2.19,"[1.93,2.47]",3.03,"[2.66,3.58]",200
0.2,4,0.64,"[0.50,1.46]",0.38,"[0.34,0.41]",49
0.2,8,0.57,"[0.48,0.80]",0.29,"[0.28,0.31]",25
0.2,16,2.19,"[1.87,2.73]",0.27,"[0.26,0.29]",22
0.2,24,2.63,"[2.21,3.34]",0.27,"[0.26,0.29]",23
0.2,32,3.58,"[2.92,4.60]",0.28,"[0.27,0.29]",29
0.2,48,5.31,"[4.54,6.70]",0.27,"[0.26,0.28]",23
0.2,64,4.75,"[3.82,7.54]",0.27,"[0.26,0.28]",27
