A,N,n,events,censored,tau_mle,tau_lo,tau_hi,km_median,mean_uncensored
0.5,4,200,200,0,38.664,33.66155882836445,44.63611521893771,21.400000000000002,38.664
0.5,8,200,200,0,65.9355,57.404606665829306,76.12002314862063,55.300000000000004,65.9355
0.5,16,200,200,0,72.1995,62.8581553028269,83.35157254163288,67.0,72.1995
0.5,24,200,200,0,63.74400000000001,55.496648198718795,73.59001987678373,62.5,63.74400000000001
0.5,32,200,200,0,66.581,57.96659032566039,76.86522831036861,62.1,66.581
0.5,48,200,200,0,67.80050000000001,59.0283084870299,78.27309460742777,66.7,67.80050000000001
0.5,64,200,200,0,67.4325,58.707921210782274,77.84825262520737,67.10000000000001,67.4325
0.2,4,100,99,1,32.65050505050505,26.818453659945565,40.17284372016125,8.200000000000001,12.44848484848485
0.2,8,100,96,4,108.95520833333335,89.22189799220247,134.51206971917668,25.900000000000002,25.621875
0.2,16,100,100,0,27.459999999999994,22.577262084918917,33.749573463418855,28.5,27.459999999999994
0.2,24,100,100,0,29.644000000000005,24.37291905481925,36.43380756553492,30.1,29.644000000000005
0.2,32,100,100,0,27.855,22.902026051544667,34.23504620624663,28.5,27.855
0.2,48,100,100,0,29.732000000000006,24.445271533459923,36.54196351836744,28.8,29.732000000000006
0.2,64,100,100,0,29.723000000000003,24.437871848144397,36.53090211410047,29.400000000000002,29.723000000000003
